2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,576 - INFO - SUPABASE形式変換: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,576 - INFO - SUPABASE形式変換: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,576 - INFO - 開始日時: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,576 - INFO - 終了日時: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,576 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-14T08:30:00+09:00', '2025-04-14T17:00:00+09:00', '×']
2025-07-05 22:22:21,576 - INFO - SUPABASE形式変換: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,576 - INFO - SUPABASE形式変換: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,576 - INFO - 開始日時: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,576 - INFO - 終了日時: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,576 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-15T08:30:00+09:00', '2025-04-15T17:00:00+09:00', '×']
2025-07-05 22:22:21,576 - INFO - SUPABASE形式変換: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,576 - INFO - 時刻修正: 2025/04/19 24:00 → 2025/04/20 00:00
2025-07-05 22:22:21,577 - INFO - SUPABASE形式変換: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 開始日時: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 終了日時: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,577 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-19T00:00:00+09:00', '2025-04-20T00:00:00+09:00', '×']
